Vognløb	Kørselsaftale	Garantitid	Garantitid weekend	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag	Ferie	25., 26. dec.	31. dec., 1. jan.
31200	3100_47	06:00 - 18:00		Ja	Nej	Ja	Ja	Ja	Nej	Nej	27-30	Ja	Ja
31201	3201_47	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Ja
31202	3202_47	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Nej	Nej
31203	3203_47	09:00 - 18:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31204	3204_47	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31205	3205_47	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Ja	Ja
31206	3206_47	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31207	3207_47	07:00 - 16:00	07:00 - 16:00	Ja	Ja	Nej	Nej	Nej	Ja	Ja		Ja	Ja
31208	3208_26	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31209	3209_47	10:00 - 19:00	10:00 - 19:00	Nej	Nej	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31210	3110_50	08:00 - 17:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Nej	Nej
31211	3211_32	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31212	3212_26	14:00 - 23:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31213	3213_26	14:00 - 23:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31214	3214_26	09:00 - 18:00	09:00 - 18:00	Nej	Nej	Nej	Nej	Ja	Ja	Ja		Ja	Nej
31215	3215_22	11:00 - 20:00	11:00 - 20:00	Nej	Nej	Nej	Nej	Ja	Ja	Ja		Nej	Ja
31216	3216_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Ja	Nej
31217	3417_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Ja
31218	3218_47	17:00 - 01:00	17:00 - 01:00	Nej	Nej	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31219	3219_26	08:00 - 17:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Ja	Nej
31220	3220_32	05:00 - 14:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31221	3221_32	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31222	3222_47	06:00 - 15:00	06:00 - 15:00	Ja	Ja	Nej	Nej	Nej	Ja	Ja		Ja	Ja
31223	3223_47	12:00 - 21:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Nej
31224	3224_22	12:00 - 21:00	12:00 - 21:00	Nej	Nej	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31225	3225_26	08:00 - 17:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Ja
31226	3126_47	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31227	3227_22	10:00 - 19:00	10:00 - 19:00	Nej	Nej	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31228	3228_32	15:00 - 23:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
