Vognløb	Garanti hverdage	Ferie	25., 26. dec.	31. dec., 1. jan.
31200	Alle		Ja	Nej
31201	Alle	7, 28-29	Nej	Ja
31202	Alle	30-31, 42	Nej	Nej
31203	Alle		Nej	Nej
31204	Alle		Nej	Nej
31205	Alle		Ja	Ja
31206	Alle	7, 28-29	Nej	Nej
31207	Mandag og tirsdag		Ja	Ja
31208	Alle		Nej	Nej
31209	Onsdag, torsdag og fredag		Ja	Ja
31210	Alle	30-31, 42	Nej	Nej
31211	Alle		Nej	Nej
31212	Alle	7, 28-29	Nej	Nej
31213	Alle	30-31, 42	Ja	Ja
31214	Fredag		Ja	Nej
31215	Fredag		Nej	Ja
31216	Alle		Ja	Nej
31217	Alle		Nej	Ja
31218	Onsdag, torsdag og fredag		Ja	Ja
31219	Alle	7, 28-29	Ja	Nej
31220	Alle		Nej	Nej
31221	Alle	7, 28-29	Nej	Nej
31222	Mandag og tirsdag		Ja	Ja
31223	Alle	30-31, 42	Ja	Nej
31224	Onsdag, torsdag og fredag		Ja	Ja
31225	Alle	7, 28-29	Nej	Ja
31226	Alle		Nej	Nej
31227	Onsdag, torsdag og fredag		Ja	Ja
31228	Alle		Nej	Nej
31229	Onsdag, torsdag og fredag		Ja	Ja
31230	Alle	30-31, 42	Nej	Nej
31231	Alle		Nej	Nej
31232	Alle	7, 28-29	Nej	Nej
31233	Alle		Ja	Nej
31234	Alle	7, 28-29	Nej	Ja
31235	Alle	30-31, 42	Ja	Nej
31236	Alle		Nej	Ja
31237	Alle		Nej	Nej
31238	Alle		Nej	Nej
31239	Alle	7, 28-29	Nej	Nej
31240	Alle	30-31, 42	Ja	Nej
31241	Alle		Nej	Ja
31242	Onsdag, torsdag og fredag		Ja	Ja
31243	Fredag		Ja	Ja
31244	Alle	7, 28-29	Ja	Nej
31246	Alle		Nej	Nej
31247	Alle	7, 28-29	Nej	Nej
31248	Alle	30-31, 42	Nej	Nej
31249	Alle		Nej	Nej
31250	Alle		Nej	Nej
31251	Alle	7, 28-29	Nej	Nej
31252	Fredag	30-31, 42	Ja	Ja
31253	Fredag		Ja	Ja
31254	Fredag	7, 28-29	Ja	Ja
31255	Fredag	30-31, 42	Ja	Ja
31256	Alle		Ja	Ja
31257	Alle		Nej	Nej
31258	Onsdag, torsdag og fredag		Ja	Ja
31259	Alle	7, 28-29	Nej	Nej
31260	Alle	30-31, 42	Nej	Nej
31261	Alle		Nej	Nej
31262	Onsdag, torsdag og fredag		Ja	Ja
31263	Alle		Nej	Nej
31264	Alle		Nej	Nej
31265	Alle		Nej	Nej
31266	Fredag		Ja	Ja
31267	Fredag		Ja	Ja
31268	Alle		Nej	Ja
31269	Alle		Ja	Nej
31270	Alle		Ja	Ja
31271	Alle	7, 28-29	Nej	Nej
31272	Alle		Ja	Ja
31273	Alle		Nej	Nej
31274	Alle	30-31, 42	Ja	Ja
31275	Alle		Ja	Ja
31276	Alle	7, 28-29	Nej	Nej
31277	Alle	30-31, 42	Ja	Ja
31278	Alle	7, 28-29	Ja	Nej
31279	Alle	30-31, 42	Nej	Ja
31280	Alle	7, 28-29	Ja	Nej
31281	Alle	30-31, 42	Nej	Ja
31282	Alle		Ja	Nej
31283	Alle		Nej	Ja
31284	Mandag og tirsdag		Ja	Ja
31285	Onsdag, torsdag og fredag		Ja	Ja
31286	Mandag og tirsdag	7, 28-29	Nej	Ja
31287	Onsdag, torsdag og fredag	30-31, 42	Ja	Nej
31288	Alle		Ja	Nej
31289	Alle	7, 28-29	Nej	Ja
31290	Alle	30-31, 42	Ja	Nej
31291	Alle		Nej	Ja
31292	Onsdag, torsdag og fredag		Ja	Ja
31293	Alle		Ja	Nej
31294	Alle		Nej	Ja
31295	Alle		Nej	Nej
31296	Onsdag, torsdag og fredag		Ja	Ja
31297	Onsdag, torsdag og fredag		Ja	Ja
31298	Alle	7, 28-29	Nej	Nej
31299	Alle	30-31, 42	Nej	Nej
31300	Alle		Nej	Nej
31301	Alle		Ja	Ja
31302	Alle		Ja	Ja
31303	Alle		Ja	Ja
31304	Alle		Nej	Nej
31305	Alle		Nej	Nej
31306	Alle	7, 28-29	Ja	Nej
31307	Fredag		Ja	Ja
31308	Alle		Nej	Ja
31309	Alle		Ja	Nej
31310	Alle	7, 28-29	Nej	Ja
31311	Alle		Nej	Nej
31312	Mandag og tirsdag	30-31, 42	Ja	Ja
31313	Onsdag, torsdag og fredag		Ja	Ja
31314	Alle	7, 28-29	Nej	Nej
31315	Alle	30-31, 42	Ja	Ja
31316	Alle		Nej	Nej
31317	Mandag og tirsdag	7, 28-29	Ja	Ja
31318	Onsdag, torsdag og fredag	30-31, 42	Ja	Ja
31319	Alle	30-31, 42	Ja	Ja
31320	Alle	7, 28-29	Nej	Nej
31321	Alle	30-31, 42	Ja	Ja
31322	Mandag og tirsdag		Ja	Ja
31323	Onsdag, torsdag og fredag	7, 28-29	Ja	Ja
31324	Alle		Ja	Ja
31325	Alle	7, 30-31	Ja	Ja
31326	Alle	7, 30-31	Ja	Nej
31327	Alle	28-29, 42	Ja	Ja
31328	Fredag	7, 28-29	Ja	Ja
31329	Alle	30-31, 42	Ja	Nej
31330	Alle	7, 28-29	Ja	Nej
31331	Alle	30-31, 42	Nej	Ja
31334	Alle		Ja	Nej
31335	Alle		Nej	Ja
31336	Alle		Nej	Nej
31337	Mandag og tirsdag		Ja	Ja
31338	Onsdag, torsdag og fredag		Ja	Ja
31339	Alle	30-31, 42	Ja	Ja
