Vognløbsnummer	Mandag	Tirsdag	Onsdag	Torsdag	Fredag	Lørdag	Søndag
31400	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31401	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31402	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31403	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31404	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31405	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31406	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31407	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31408	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31409	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31410	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31411	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31412	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31413	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31414	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31415	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31416	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31417	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31418	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31419	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31420	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31421	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31422	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31423	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31424	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31425	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31426	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31427	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31428	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31429	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31430	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31431	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31432	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31433	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31434	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31435	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31436	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31437	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31438	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31439	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31440	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31441	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31442	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31443	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31444	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31445	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31446	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31447	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31448	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31449	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31450	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31451	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31452	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31453	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31454	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31455	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31456	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31457	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31458	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31459	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31460	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31461	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31462	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31463	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31464	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31465	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31466	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31467	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31468	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31469	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31470	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31471	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31472	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31473	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31474	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31475	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31476	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31477	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31478	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31479	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31480	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31481	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31482	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31483	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31484	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31485	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31486	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31487	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31488	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31489	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31490	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31491	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31492	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31494	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31495	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31496	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31497	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31498	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31499	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31500	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31501	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31502	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31503	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31504	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31505	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31506	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31507	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31508	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31509	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31510	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31511	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31512	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31513	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31514	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31515	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31516	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31517	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31518	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31519	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31520	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31521	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31522	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31523	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31524	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31525	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31526	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31527	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31528	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31529	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31530	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31531	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31532	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31533	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31534	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31535	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31536	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31537	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31538	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31539	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31540	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31541	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31542	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31543	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31544	Ja	Ja	Ja	Ja	Ja	Nej	Nej
31545	Ja	Ja	Ja	Ja	Ja	Nej	Nej
