Kørselsaftale	Vognløb
3100_47	31200
3201_47	31201
3202_47	31202
3203_47	31203
3204_47	31204
3205_47	31205
3206_47	31206
3207_47	31207
3208_26	31208
3209_47	31209
3110_50	31210
3211_32	31211
3212_26	31212
3213_26	31213
3214_26	31214
3215_22	31215
3216_47	31216
3417_47	31217
3218_47	31218
3219_26	31219
3220_32	31220
3221_32	31221
3222_47	31222
3223_47	31223
3224_22	31224
3225_26	31225
3126_26	31226
3227_22	31227
3228_32	31228
3229_32	31229
3230_47	31230
3231_47	31231
3232_47	31232
3233_22	31233
3134_32	31234
3235_22	31235
3236_47	31236
3237_47	31237
3238_47	31238
3239_47	31239
3240_47	31240
3241_22	31241
3142_32	31242
3543_32	31243
3244_26	31244
3245_22	31245
3246_47	31246
3247_47	31247
3248_47	31248
3249_12	31249
3250_22	31250
3251_22	31251
3252_22	31252
3253_22	31253
3154_32	31254
3255_22	31255
3256_26	31256
3257_22	31257
3158_26	31258
3259_47	31259
3160_47	31260
3261_9	31261
3162_47	31262
3263_32	31263
3164_47	31264
3265_47	31265
3266_32	31266
3267_32	31267
3268_12	31268
3269_22	31269
3170_26	31270
3271_47	31271
3272_22	31272
3273_22	31273
3274_32	31274
3275_22	31275
3276_47	31276
3277_26	31277
3178_47	31278
3279_47	31279
3380_22	31280
3281_26	31281
3182_47	31282
3283_32	31283
3284_32	31284
3285_32	31285
3286_26	31286
3287_32	31287
3288_47	31288
3289_47	31289
3290_47	31290
3291_9	31291
3292_26	31292
3293_26	31293
3394_47	31294
3295_47	31295
3296_26	31296
3397_32	31297
3298_47	31298
3299_26	31299
3300_47	31300
3301_47	31301
3302_26	31302
3303_22	31303
3404_47	31304
3305_26	31305
3306_47	31306
3307_32	31307
3308_47	31308
3109_47	31309
3310_47	31310
3211_47	31311
3312_47	31312
3313_47	31313
3314_22	31314
3315_32	31315
3316_26	31316
3317_47	31317
3318_32	31318
3319_47	31319
3320_22	31320
3321_47	31321
3322_47	31322
3323_32	31323
3324_26	31324
3325_47	31325
3326_47	31326
3327_47	31327
3128_32	31328
3329_32	31329
3330_22	31330
3331_47	31331
3332_22	31332
3333_22	31333
3334_47	31334
3335_26	31335
3336_35	31336
3337_35	31337
3338_47	31338
3339_35	31339
3340_47	31340
3341_32	31341
3342_32	31342
3143_32	31343
3144_47	31344
3345_47	31345
3346_26	31346
3147_47	31347
3348_22	31348
3349_47	31349
3350_47	31350
3351_32	31351
3352_47	31352
3353_32	31353
3354_26	31354
3355_47	31355
3356_47	31356
3357_47	31357
3358_47	31358
3359_47	31359
3360_26	31360
3361_47	31361
3362_22	31362
3363_22	31363
3164_26	31364
3365_22	31365
3366_32	31366
3367_22	31367
3368_47	31368
3369_47	31369
3370_22	31370
3371_47	31371
3372_47	31372
3373_26	31373
3174_32	31374
3375_47	31375
3376_26	31376
3377_26	31377
3378_26	31378
3379_47	31379
3380_47	31380
3381_47	31381
3382_47	31382
3383_50	31383
3384_50	31384
3385_47	31385
3386_22	31386
