"Gadenavn","WGS84 latitude","WGS84 longitude"
" -FLEX Aktcen., Odg.vej","56,569738","9,019578"
" -FLEX Albæk, Nedrevej","56,48273","10,158857"
" -FLEX Alken, Købmanden","56,052372","9,845742"
" -FLEX Allingåbro Lægeh","56,465798","10,342987"
" -FLEX Anelystvej","56,182173","10,101193"
" -FLEX Anholtfærgen Gr.","56,408721","10,924996"
" -FLEX Asferg, Ø/Vst.g.","56,54637","9,932389"
" -FLEX Assedrup Station","56,004059","10,18317"
" -FLEX Assentft, St.gd.","56,440266","10,142447"
" -FLEX AUH indgang G","56,191931","10,174426"
" -FLEX Auning Busst.","56,431023","10,375118"
" -FLEX Balle, Borgerhus","56,317834","10,806824"
" -FLEX Balle, Rosmus Sk","56,298516","10,773718"
" -FLEX Barrit Kulturh.","55,716038","9,878796"
" -FLEX Bjerre Borgerhus","55,785376","9,856565"
" -FLEX Blegind Kirke","56,06712","10,072098"
" -FLEX Bremdal Aktcen.","56,510713","8,579901"
" -FLEX Brobjergcentret","56,205151","10,262607"
" -FLEX Bækmarksbro St.","56,411728","8,308149"
" -FLEX Bøgballe Skole","55,822347","9,613712"
" -FLEX Campus Skanderb.","56,045487","9,946279"
" -FLEX Cent.for sundh.","56,371091","8,623126"
" -FLEX City Vest v/taxa","56,155364","10,13562"
" -FLEX Dalbyo., Grejsv.","56,617879","10,206261"
" -FLEX Daug. Gl Vejlev.","55,732911","9,703318"
" -FLEX Dråby Kirke","56,222821","10,704346"
" -FLEX Ebeltoft, AGS","56,302225","10,684427"
" -FLEX Ebeltoft Brgers.","56,179218","10,675539"
" -FLEX Ebeltoft C.","56,197265","10,682"
" -FLEX Ebeltoft, EBIC","56,194572","10,68243"
" -FLEX Ebeltoft Filmh.","56,192993","10,69274"
" -FLEX Egsmark, Sdr.vej","56,226115","10,663697"
" -FLEX Enslev, Krogag.v","56,614699","10,121703"
" -FLEX Feldballehallen","56,283605","10,586534"
" -FLEX Fjollehaven Fj.","56,506676","10,587877"
" -FLEX Fregatten Jyl.","56,19925","10,67609"
" -FLEX Fruering","56,034826","9,991517"
" -FLEX Fuglevangsvej","55,857632","9,812479"
" -FLEX Fårup","56,544461","9,85551"
" -FLEX Galten Torv","56,154869","9,904918"
" -FLEX Gassum v/kirken","56,575409","9,996048"
" -FLEX Gimming, Gim.vej","56,493066","10,097142"
" -FLEX Gjerlev, Aks.trv","56,587127","10,131291"
" -FLEX Glesborg v/hal","56,478146","10,71881"
" -FLEX Gl. Rye Skole","56,076739","9,699445"
" -FLEX Glud Skole","55,807245","10,001967"
" -FLEX Grenaa Bibliotek","56,410687","10,887132"
" -FLEX Grenaa Rådhus","56,414399","10,875206"
" -FLEX Grenaa Sundh.","56,418357","10,864182"
" -FLEX Grønfeldt Forsam","56,256848","10,552268"
" -FLEX Gødstrup Sygehus","56,157082","8,89096"
" -FLEX Haderup Rtb.","56,387566","8,993602"
" -FLEX Hadsten Station","56,327522","10,047899"
" -FLEX Hald, Haldvej","56,557353","10,109268"
